,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[15,3]",0.404037,0.00931943,0.281827,0.374257,0.014874,0.390483,0.865954,882.18,2214.01,8.49336,1.00775
"prob_resp_class[15,4]",0.287969,0.00892235,0.273486,0.22484,0.00939007,0.18645,0.849682,1043.49,2338.17,10.0464,1.0041
"prob_resp_class[16,1]",0.0388586,0.000928551,0.0569503,0.0223817,0.000754497,0.0180134,0.14999,3167.6,4321.73,30.4967,1.00028
"prob_resp_class[16,2]",0.0776276,0.00134336,0.0834764,0.0534752,0.00370138,0.0502684,0.253017,3480.58,4226.0,33.51,1.00024
"prob_resp_class[16,3]",0.264512,0.00288434,0.183505,0.192684,0.0291501,0.23112,0.612431,3660.01,4107.11,35.2375,0.999882
"prob_resp_class[16,4]",0.619002,0.00359888,0.217595,0.253323,0.236201,0.634209,0.940579,3432.63,4232.5,33.0484,0.999917
"prob_resp_class[17,1]",0.0351566,0.000863445,0.0497665,0.0205066,0.00103343,0.0175485,0.128861,3354.53,4577.63,32.2964,1.00132
"prob_resp_class[17,2]",0.0705047,0.0010964,0.0697135,0.0475089,0.00554641,0.0490967,0.207016,3943.85,4744.83,37.9702,1.00061
"prob_resp_class[17,3]",0.269103,0.00393878,0.198429,0.19261,0.0282557,0.222381,0.665222,2613.02,3665.83,25.1574,1.00012
"prob_resp_class[17,4]",0.625235,0.00431295,0.22213,0.2369,0.2101,0.658063,0.932772,2699.05,3576.58,25.9857,1.00017
"prob_resp_class[18,1]",0.110841,0.00218936,0.120931,0.0793559,0.00374619,0.0691337,0.369263,2574.62,4779.2,24.7877,1.00017
"prob_resp_class[18,2]",0.184845,0.00277696,0.151372,0.127125,0.0163397,0.144564,0.489419,2930.29,3983.07,28.2119,1.00124
"prob_resp_class[18,3]",0.239262,0.00383204,0.178688,0.180519,0.0235851,0.200606,0.595612,1945.53,4548.81,18.7309,1.00238
"prob_resp_class[18,4]",0.465051,0.00419852,0.231943,0.267243,0.110189,0.449767,0.861507,3165.05,5420.12,30.4721,1.0004
"prob_resp_class[19,1]",0.051731,0.00121241,0.0745895,0.0307494,0.00081763,0.0240798,0.195576,3241.65,4414.83,31.2096,1.00076
"prob_resp_class[19,2]",0.0642469,0.00125832,0.0777666,0.0420911,0.00241771,0.0373019,0.220322,3499.2,4926.46,33.6892,1.00067
"prob_resp_class[19,3]",0.353275,0.00443212,0.246787,0.284303,0.0329145,0.311322,0.807657,3223.14,5070.25,31.0314,1.00107
"prob_resp_class[19,4]",0.530748,0.00465794,0.268907,0.334349,0.0821565,0.544172,0.933223,3253.6,4520.22,31.3247,1.00077
"prob_resp_class[20,1]",0.0306622,0.000758001,0.0472221,0.0170883,0.000460257,0.0135402,0.119967,3095.87,4227.62,29.8061,1.00107
"prob_resp_class[20,2]",0.0867759,0.00156019,0.0931732,0.0605524,0.00388695,0.055957,0.272075,3322.3,4126.41,31.9861,1.0002
"prob_resp_class[20,3]",0.211694,0.00292463,0.168239,0.152292,0.0171469,0.167927,0.559081,3363.08,4375.16,32.3787,1.0002
"prob_resp_class[20,4]",0.670868,0.00364995,0.204922,0.224577,0.293236,0.696903,0.956794,3179.69,4348.61,30.6131,1.00048
