,R_hat
"Y_rep[74,23]",
"Y_rep[74,24]",
"Y_rep[74,25]",
"Y_rep[74,26]",
"Y_rep[74,27]",
"Y_rep[74,28]",
"Y_rep[75,1]",
"Y_rep[75,2]",
"Y_rep[75,3]",
"Y_rep[75,4]",
"Y_rep[75,5]",
"Y_rep[75,6]",
"Y_rep[75,7]",
"Y_rep[75,8]",
"Y_rep[75,9]",
"Y_rep[75,10]",
"Y_rep[75,11]",
"Y_rep[75,12]",
"Y_rep[75,13]",
"Y_rep[75,14]",
"Y_rep[75,15]",
"Y_rep[75,16]",
"Y_rep[75,17]",
"Y_rep[75,18]",
"Y_rep[75,19]",
"Y_rep[75,20]",
"Y_rep[75,21]",
"Y_rep[75,22]",
"Y_rep[75,23]",
"Y_rep[75,24]",
"Y_rep[75,25]",
"Y_rep[75,26]",
"Y_rep[75,27]",
"Y_rep[75,28]",
"Y_rep[76,1]",
"Y_rep[76,2]",
"Y_rep[76,3]",
"Y_rep[76,4]",
"Y_rep[76,5]",
"Y_rep[76,6]",
"Y_rep[76,7]",
"Y_rep[76,8]",
"Y_rep[76,9]",
"Y_rep[76,10]",
"Y_rep[76,11]",
"Y_rep[76,12]",
"Y_rep[76,13]",
"Y_rep[76,14]",
"Y_rep[76,15]",
"Y_rep[76,16]",
"Y_rep[76,17]",
"Y_rep[76,18]",
"Y_rep[76,19]",
"Y_rep[76,20]",
"Y_rep[76,21]",
"Y_rep[76,22]",
"Y_rep[76,23]",
"Y_rep[76,24]",
"Y_rep[76,25]",
"Y_rep[76,26]",
"Y_rep[76,27]",
"Y_rep[76,28]",
"Y_rep[77,1]",
"Y_rep[77,2]",
"Y_rep[77,3]",
"Y_rep[77,4]",
"Y_rep[77,5]",
"Y_rep[77,6]",
"Y_rep[77,7]",
"Y_rep[77,8]",
"Y_rep[77,9]",
"Y_rep[77,10]",
"Y_rep[77,11]",
"Y_rep[77,12]",
"Y_rep[77,13]",
"Y_rep[77,14]",
"Y_rep[77,15]",
"Y_rep[77,16]",
"Y_rep[77,17]",
"Y_rep[77,18]",
"Y_rep[77,19]",
"Y_rep[77,20]",
"Y_rep[77,21]",
"Y_rep[77,22]",
"Y_rep[77,23]",
"Y_rep[77,24]",
"Y_rep[77,25]",
"Y_rep[77,26]",
"Y_rep[77,27]",
"Y_rep[77,28]",
"Y_rep[78,1]",
"Y_rep[78,2]",
"Y_rep[78,3]",
"Y_rep[78,4]",
"Y_rep[78,5]",
"Y_rep[78,6]",
"Y_rep[78,7]",
"Y_rep[78,8]",
"Y_rep[78,9]",
"Y_rep[78,10]",
"Y_rep[78,11]",
"Y_rep[78,12]",
"Y_rep[78,13]",
"Y_rep[78,14]",
"Y_rep[78,15]",
"Y_rep[78,16]",
"Y_rep[78,17]",
"Y_rep[78,18]",
"Y_rep[78,19]",
"Y_rep[78,20]",
"Y_rep[78,21]",
"Y_rep[78,22]",
"Y_rep[78,23]",
"Y_rep[78,24]",
"Y_rep[78,25]",
"Y_rep[78,26]",
"Y_rep[78,27]",
"Y_rep[78,28]",
"Y_rep[79,1]",
"Y_rep[79,2]",
"Y_rep[79,3]",
"Y_rep[79,4]",
"Y_rep[79,5]",
"Y_rep[79,6]",
"Y_rep[79,7]",
"Y_rep[79,8]",
"Y_rep[79,9]",
"Y_rep[79,10]",
"Y_rep[79,11]",
"Y_rep[79,12]",
"Y_rep[79,13]",
"Y_rep[79,14]",
"Y_rep[79,15]",
"Y_rep[79,16]",
"Y_rep[79,17]",
"Y_rep[79,18]",
"Y_rep[79,19]",
"Y_rep[79,20]",
"Y_rep[79,21]",
"Y_rep[79,22]",
"Y_rep[79,23]",
"Y_rep[79,24]",
"Y_rep[79,25]",
"Y_rep[79,26]",
"Y_rep[79,27]",
"Y_rep[79,28]",
"Y_rep[80,1]",
"Y_rep[80,2]",
"Y_rep[80,3]",
"Y_rep[80,4]",
"Y_rep[80,5]",
"Y_rep[80,6]",
"Y_rep[80,7]",
"Y_rep[80,8]",
"Y_rep[80,9]",
"Y_rep[80,10]",
"Y_rep[80,11]",
"Y_rep[80,12]",
"Y_rep[80,13]",
"Y_rep[80,14]",
"Y_rep[80,15]",
"Y_rep[80,16]",
"Y_rep[80,17]",
"Y_rep[80,18]",
"Y_rep[80,19]",
"Y_rep[80,20]",
"Y_rep[80,21]",
"Y_rep[80,22]",
"Y_rep[80,23]",
"Y_rep[80,24]",
"Y_rep[80,25]",
"Y_rep[80,26]",
"Y_rep[80,27]",
"Y_rep[80,28]",
"Y_rep[81,1]",
"Y_rep[81,2]",
"Y_rep[81,3]",
"Y_rep[81,4]",
"Y_rep[81,5]",
"Y_rep[81,6]",
"Y_rep[81,7]",
"Y_rep[81,8]",
"Y_rep[81,9]",
"Y_rep[81,10]",
"Y_rep[81,11]",
"Y_rep[81,12]",
"Y_rep[81,13]",
"Y_rep[81,14]",
"Y_rep[81,15]",
"Y_rep[81,16]",
"Y_rep[81,17]",
"Y_rep[81,18]",
"Y_rep[81,19]",
"Y_rep[81,20]",
"Y_rep[81,21]",
"Y_rep[81,22]",
"Y_rep[81,23]",
"Y_rep[81,24]",
"Y_rep[81,25]",
"Y_rep[81,26]",
"Y_rep[81,27]",
"Y_rep[81,28]",
"Y_rep[82,1]",
"Y_rep[82,2]",
"Y_rep[82,3]",
"Y_rep[82,4]",
"Y_rep[82,5]",
"Y_rep[82,6]",
"Y_rep[82,7]",
"Y_rep[82,8]",
"Y_rep[82,9]",
"Y_rep[82,10]",
"Y_rep[82,11]",
"Y_rep[82,12]",
"Y_rep[82,13]",
"Y_rep[82,14]",
"Y_rep[82,15]",
"Y_rep[82,16]",
"Y_rep[82,17]",
"Y_rep[82,18]",
"Y_rep[82,19]",
"Y_rep[82,20]",
"Y_rep[82,21]",
"Y_rep[82,22]",
"Y_rep[82,23]",
"Y_rep[82,24]",
"Y_rep[82,25]",
"Y_rep[82,26]",
"Y_rep[82,27]",
"Y_rep[82,28]",
"Y_rep[83,1]",
"Y_rep[83,2]",
"Y_rep[83,3]",
"Y_rep[83,4]",
"Y_rep[83,5]",
"Y_rep[83,6]",
"Y_rep[83,7]",
"Y_rep[83,8]",
"Y_rep[83,9]",
"Y_rep[83,10]",
"Y_rep[83,11]",
"Y_rep[83,12]",
"Y_rep[83,13]",
"Y_rep[83,14]",
"Y_rep[83,15]",
"Y_rep[83,16]",
"Y_rep[83,17]",
"Y_rep[83,18]",
"Y_rep[83,19]",
"Y_rep[83,20]",
"Y_rep[83,21]",
"Y_rep[83,22]",
"Y_rep[83,23]",
"Y_rep[83,24]",
"Y_rep[83,25]",
"Y_rep[83,26]",
"Y_rep[83,27]",
"Y_rep[83,28]",
"Y_rep[84,1]",
"Y_rep[84,2]",
"Y_rep[84,3]",
"Y_rep[84,4]",
"Y_rep[84,5]",
"Y_rep[84,6]",
"Y_rep[84,7]",
"Y_rep[84,8]",
"Y_rep[84,9]",
"Y_rep[84,10]",
"Y_rep[84,11]",
"Y_rep[84,12]",
"Y_rep[84,13]",
"Y_rep[84,14]",
"Y_rep[84,15]",
"Y_rep[84,16]",
"Y_rep[84,17]",
"Y_rep[84,18]",
"Y_rep[84,19]",
"Y_rep[84,20]",
"Y_rep[84,21]",
"Y_rep[84,22]",
"Y_rep[84,23]",
"Y_rep[84,24]",
"Y_rep[84,25]",
"Y_rep[84,26]",
"Y_rep[84,27]",
"Y_rep[84,28]",
"Y_rep[85,1]",
"Y_rep[85,2]",
"Y_rep[85,3]",
"Y_rep[85,4]",
"Y_rep[85,5]",
"Y_rep[85,6]",
"Y_rep[85,7]",
"Y_rep[85,8]",
"Y_rep[85,9]",
"Y_rep[85,10]",
"Y_rep[85,11]",
"Y_rep[85,12]",
"Y_rep[85,13]",
"Y_rep[85,14]",
"Y_rep[85,15]",
"Y_rep[85,16]",
"Y_rep[85,17]",
"Y_rep[85,18]",
"Y_rep[85,19]",
"Y_rep[85,20]",
"Y_rep[85,21]",
"Y_rep[85,22]",
"Y_rep[85,23]",
"Y_rep[85,24]",
"Y_rep[85,25]",
"Y_rep[85,26]",
"Y_rep[85,27]",
"Y_rep[85,28]",
"Y_rep[86,1]",
"Y_rep[86,2]",
"Y_rep[86,3]",
"Y_rep[86,4]",
"Y_rep[86,5]",
"Y_rep[86,6]",
"Y_rep[86,7]",
"Y_rep[86,8]",
"Y_rep[86,9]",
"Y_rep[86,10]",
"Y_rep[86,11]",
"Y_rep[86,12]",
"Y_rep[86,13]",
"Y_rep[86,14]",
"Y_rep[86,15]",
"Y_rep[86,16]",
"Y_rep[86,17]",
"Y_rep[86,18]",
"Y_rep[86,19]",
"Y_rep[86,20]",
"Y_rep[86,21]",
"Y_rep[86,22]",
"Y_rep[86,23]",
"Y_rep[86,24]",
"Y_rep[86,25]",
"Y_rep[86,26]",
"Y_rep[86,27]",
"Y_rep[86,28]",
"Y_rep[87,1]",
"Y_rep[87,2]",
"Y_rep[87,3]",
"Y_rep[87,4]",
"Y_rep[87,5]",
"Y_rep[87,6]",
"Y_rep[87,7]",
"Y_rep[87,8]",
"Y_rep[87,9]",
"Y_rep[87,10]",
"Y_rep[87,11]",
"Y_rep[87,12]",
"Y_rep[87,13]",
"Y_rep[87,14]",
"Y_rep[87,15]",
"Y_rep[87,16]",
"Y_rep[87,17]",
"Y_rep[87,18]",
"Y_rep[87,19]",
"Y_rep[87,20]",
"Y_rep[87,21]",
"Y_rep[87,22]",
"Y_rep[87,23]",
"Y_rep[87,24]",
"Y_rep[87,25]",
"Y_rep[87,26]",
"Y_rep[87,27]",
"Y_rep[87,28]",
"Y_rep[88,1]",
"Y_rep[88,2]",
"Y_rep[88,3]",
"Y_rep[88,4]",
"Y_rep[88,5]",
"Y_rep[88,6]",
"Y_rep[88,7]",
"Y_rep[88,8]",
"Y_rep[88,9]",
"Y_rep[88,10]",
"Y_rep[88,11]",
"Y_rep[88,12]",
"Y_rep[88,13]",
"Y_rep[88,14]",
"Y_rep[88,15]",
"Y_rep[88,16]",
"Y_rep[88,17]",
"Y_rep[88,18]",
"Y_rep[88,19]",
"Y_rep[88,20]",
"Y_rep[88,21]",
"Y_rep[88,22]",
"Y_rep[88,23]",
"Y_rep[88,24]",
"Y_rep[88,25]",
"Y_rep[88,26]",
"Y_rep[88,27]",
"Y_rep[88,28]",
"Y_rep[89,1]",
"Y_rep[89,2]",
"Y_rep[89,3]",
"Y_rep[89,4]",
"Y_rep[89,5]",
"Y_rep[89,6]",
"Y_rep[89,7]",
"Y_rep[89,8]",
"Y_rep[89,9]",
"Y_rep[89,10]",
"Y_rep[89,11]",
"Y_rep[89,12]",
"Y_rep[89,13]",
"Y_rep[89,14]",
"Y_rep[89,15]",
"Y_rep[89,16]",
"Y_rep[89,17]",
"Y_rep[89,18]",
"Y_rep[89,19]",
"Y_rep[89,20]",
"Y_rep[89,21]",
"Y_rep[89,22]",
"Y_rep[89,23]",
"Y_rep[89,24]",
"Y_rep[89,25]",
"Y_rep[89,26]",
"Y_rep[89,27]",
"Y_rep[89,28]",
"Y_rep[90,1]",
"Y_rep[90,2]",
"Y_rep[90,3]",
"Y_rep[90,4]",
"Y_rep[90,5]",
"Y_rep[90,6]",
"Y_rep[90,7]",
"Y_rep[90,8]",
"Y_rep[90,9]",
"Y_rep[90,10]",
"Y_rep[90,11]",
"Y_rep[90,12]",
"Y_rep[90,13]",
"Y_rep[90,14]",
"Y_rep[90,15]",
"Y_rep[90,16]",
"Y_rep[90,17]",
"Y_rep[90,18]",
"Y_rep[90,19]",
"Y_rep[90,20]",
"Y_rep[90,21]",
"Y_rep[90,22]",
"Y_rep[90,23]",
"Y_rep[90,24]",
"Y_rep[90,25]",
"Y_rep[90,26]",
"Y_rep[90,27]",
"Y_rep[90,28]",
"Y_rep[91,1]",
"Y_rep[91,2]",
"Y_rep[91,3]",
"Y_rep[91,4]",
"Y_rep[91,5]",
"Y_rep[91,6]",
"Y_rep[91,7]",
"Y_rep[91,8]",
"Y_rep[91,9]",
"Y_rep[91,10]",
"Y_rep[91,11]",
"Y_rep[91,12]",
"Y_rep[91,13]",
"Y_rep[91,14]",
"Y_rep[91,15]",
"Y_rep[91,16]",
"Y_rep[91,17]",
"Y_rep[91,18]",
"Y_rep[91,19]",
"Y_rep[91,20]",
"Y_rep[91,21]",
"Y_rep[91,22]",
"Y_rep[91,23]",
"Y_rep[91,24]",
"Y_rep[91,25]",
"Y_rep[91,26]",
"Y_rep[91,27]",
"Y_rep[91,28]",
"Y_rep[92,1]",
"Y_rep[92,2]",
"Y_rep[92,3]",
"Y_rep[92,4]",
"Y_rep[92,5]",
"Y_rep[92,6]",
"Y_rep[92,7]",
"Y_rep[92,8]",
"Y_rep[92,9]",
"Y_rep[92,10]",
"Y_rep[92,11]",
"Y_rep[92,12]",
"Y_rep[92,13]",
"Y_rep[92,14]",
"Y_rep[92,15]",
"Y_rep[92,16]",
"Y_rep[92,17]",
"Y_rep[92,18]",
"Y_rep[92,19]",
"Y_rep[92,20]",
"Y_rep[92,21]",
"Y_rep[92,22]",
"Y_rep[92,23]",
"Y_rep[92,24]",
"Y_rep[92,25]",
"Y_rep[92,26]",
"Y_rep[92,27]",
"Y_rep[92,28]",
"Y_rep[93,1]",
"Y_rep[93,2]",
"Y_rep[93,3]",
"Y_rep[93,4]",
"Y_rep[93,5]",
"Y_rep[93,6]",
"Y_rep[93,7]",
"Y_rep[93,8]",
"Y_rep[93,9]",
"Y_rep[93,10]",
"Y_rep[93,11]",
"Y_rep[93,12]",
"Y_rep[93,13]",
"Y_rep[93,14]",
"Y_rep[93,15]",
"Y_rep[93,16]",
"Y_rep[93,17]",
"Y_rep[93,18]",
"Y_rep[93,19]",
"Y_rep[93,20]",
"Y_rep[93,21]",
"Y_rep[93,22]",
"Y_rep[93,23]",
"Y_rep[93,24]",
"Y_rep[93,25]",
"Y_rep[93,26]",
"Y_rep[93,27]",
"Y_rep[93,28]",
"Y_rep[94,1]",
"Y_rep[94,2]",
"Y_rep[94,3]",
"Y_rep[94,4]",
"Y_rep[94,5]",
"Y_rep[94,6]",
"Y_rep[94,7]",
"Y_rep[94,8]",
"Y_rep[94,9]",
"Y_rep[94,10]",
"Y_rep[94,11]",
"Y_rep[94,12]",
"Y_rep[94,13]",
"Y_rep[94,14]",
"Y_rep[94,15]",
"Y_rep[94,16]",
"Y_rep[94,17]",
"Y_rep[94,18]",
"Y_rep[94,19]",
"Y_rep[94,20]",
"Y_rep[94,21]",
"Y_rep[94,22]",
"Y_rep[94,23]",
"Y_rep[94,24]",
"Y_rep[94,25]",
"Y_rep[94,26]",
"Y_rep[94,27]",
"Y_rep[94,28]",
"Y_rep[95,1]",
"Y_rep[95,2]",
"Y_rep[95,3]",
"Y_rep[95,4]",
"Y_rep[95,5]",
"Y_rep[95,6]",
"Y_rep[95,7]",
"Y_rep[95,8]",
"Y_rep[95,9]",
"Y_rep[95,10]",
"Y_rep[95,11]",
"Y_rep[95,12]",
"Y_rep[95,13]",
"Y_rep[95,14]",
"Y_rep[95,15]",
"Y_rep[95,16]",
"Y_rep[95,17]",
"Y_rep[95,18]",
"Y_rep[95,19]",
"Y_rep[95,20]",
"Y_rep[95,21]",
"Y_rep[95,22]",
"Y_rep[95,23]",
"Y_rep[95,24]",
"Y_rep[95,25]",
"Y_rep[95,26]",
"Y_rep[95,27]",
"Y_rep[95,28]",
"Y_rep[96,1]",
"Y_rep[96,2]",
"Y_rep[96,3]",
"Y_rep[96,4]",
"Y_rep[96,5]",
"Y_rep[96,6]",
"Y_rep[96,7]",
"Y_rep[96,8]",
"Y_rep[96,9]",
"Y_rep[96,10]",
"Y_rep[96,11]",
"Y_rep[96,12]",
"Y_rep[96,13]",
"Y_rep[96,14]",
"Y_rep[96,15]",
"Y_rep[96,16]",
"Y_rep[96,17]",
"Y_rep[96,18]",
"Y_rep[96,19]",
"Y_rep[96,20]",
"Y_rep[96,21]",
"Y_rep[96,22]",
"Y_rep[96,23]",
"Y_rep[96,24]",
"Y_rep[96,25]",
"Y_rep[96,26]",
"Y_rep[96,27]",
"Y_rep[96,28]",
"Y_rep[97,1]",
"Y_rep[97,2]",
"Y_rep[97,3]",
"Y_rep[97,4]",
"Y_rep[97,5]",
"Y_rep[97,6]",
"Y_rep[97,7]",
"Y_rep[97,8]",
"Y_rep[97,9]",
"Y_rep[97,10]",
"Y_rep[97,11]",
"Y_rep[97,12]",
"Y_rep[97,13]",
"Y_rep[97,14]",
"Y_rep[97,15]",
"Y_rep[97,16]",
"Y_rep[97,17]",
"Y_rep[97,18]",
"Y_rep[97,19]",
"Y_rep[97,20]",
"Y_rep[97,21]",
"Y_rep[97,22]",
"Y_rep[97,23]",
"Y_rep[97,24]",
"Y_rep[97,25]",
"Y_rep[97,26]",
"Y_rep[97,27]",
"Y_rep[97,28]",
"Y_rep[98,1]",
"Y_rep[98,2]",
"Y_rep[98,3]",
"Y_rep[98,4]",
"Y_rep[98,5]",
"Y_rep[98,6]",
"Y_rep[98,7]",
"Y_rep[98,8]",
"Y_rep[98,9]",
"Y_rep[98,10]",
"Y_rep[98,11]",
"Y_rep[98,12]",
"Y_rep[98,13]",
"Y_rep[98,14]",
"Y_rep[98,15]",
"Y_rep[98,16]",
"Y_rep[98,17]",
"Y_rep[98,18]",
"Y_rep[98,19]",
"Y_rep[98,20]",
"Y_rep[98,21]",
"Y_rep[98,22]",
"Y_rep[98,23]",
"Y_rep[98,24]",
"Y_rep[98,25]",
"Y_rep[98,26]",
"Y_rep[98,27]",
"Y_rep[98,28]",
"Y_rep[99,1]",
"Y_rep[99,2]",
"Y_rep[99,3]",
"Y_rep[99,4]",
"Y_rep[99,5]",
"Y_rep[99,6]",
"Y_rep[99,7]",
"Y_rep[99,8]",
"Y_rep[99,9]",
"Y_rep[99,10]",
"Y_rep[99,11]",
"Y_rep[99,12]",
"Y_rep[99,13]",
"Y_rep[99,14]",
"Y_rep[99,15]",
"Y_rep[99,16]",
"Y_rep[99,17]",
"Y_rep[99,18]",
"Y_rep[99,19]",
"Y_rep[99,20]",
"Y_rep[99,21]",
"Y_rep[99,22]",
"Y_rep[99,23]",
"Y_rep[99,24]",
"Y_rep[99,25]",
"Y_rep[99,26]",
"Y_rep[99,27]",
"Y_rep[99,28]",
"Y_rep[100,1]",
"Y_rep[100,2]",
"Y_rep[100,3]",
"Y_rep[100,4]",
"Y_rep[100,5]",
"Y_rep[100,6]",
"Y_rep[100,7]",
"Y_rep[100,8]",
"Y_rep[100,9]",
"Y_rep[100,10]",
"Y_rep[100,11]",
"Y_rep[100,12]",
"Y_rep[100,13]",
"Y_rep[100,14]",
"Y_rep[100,15]",
"Y_rep[100,16]",
"Y_rep[100,17]",
"Y_rep[100,18]",
"Y_rep[100,19]",
"Y_rep[100,20]",
"Y_rep[100,21]",
"Y_rep[100,22]",
"Y_rep[100,23]",
"Y_rep[100,24]",
"Y_rep[100,25]",
"Y_rep[100,26]",
"Y_rep[100,27]",
"Y_rep[100,28]",
"Y_rep[101,1]",
"Y_rep[101,2]",
"Y_rep[101,3]",
"Y_rep[101,4]",
"Y_rep[101,5]",
"Y_rep[101,6]",
"Y_rep[101,7]",
"Y_rep[101,8]",
"Y_rep[101,9]",
"Y_rep[101,10]",
"Y_rep[101,11]",
"Y_rep[101,12]",
"Y_rep[101,13]",
"Y_rep[101,14]",
"Y_rep[101,15]",
"Y_rep[101,16]",
"Y_rep[101,17]",
"Y_rep[101,18]",
"Y_rep[101,19]",
"Y_rep[101,20]",
"Y_rep[101,21]",
"Y_rep[101,22]",
"Y_rep[101,23]",
"Y_rep[101,24]",
"Y_rep[101,25]",
"Y_rep[101,26]",
"Y_rep[101,27]",
"Y_rep[101,28]",
"Y_rep[102,1]",
"Y_rep[102,2]",
"Y_rep[102,3]",
"Y_rep[102,4]",
"Y_rep[102,5]",
"Y_rep[102,6]",
"Y_rep[102,7]",
"Y_rep[102,8]",
"Y_rep[102,9]",
"Y_rep[102,10]",
"Y_rep[102,11]",
"Y_rep[102,12]",
"Y_rep[102,13]",
"Y_rep[102,14]",
"Y_rep[102,15]",
"Y_rep[102,16]",
"Y_rep[102,17]",
"Y_rep[102,18]",
"Y_rep[102,19]",
"Y_rep[102,20]",
"Y_rep[102,21]",
"Y_rep[102,22]",
"Y_rep[102,23]",
"Y_rep[102,24]",
"Y_rep[102,25]",
"Y_rep[102,26]",
"Y_rep[102,27]",
"Y_rep[102,28]",
"Y_rep[103,1]",
"Y_rep[103,2]",
"Y_rep[103,3]",
"Y_rep[103,4]",
"Y_rep[103,5]",
"Y_rep[103,6]",
"Y_rep[103,7]",
"Y_rep[103,8]",
"Y_rep[103,9]",
"Y_rep[103,10]",
"Y_rep[103,11]",
"Y_rep[103,12]",
"Y_rep[103,13]",
"Y_rep[103,14]",
"Y_rep[103,15]",
"Y_rep[103,16]",
"Y_rep[103,17]",
"Y_rep[103,18]",
"Y_rep[103,19]",
"Y_rep[103,20]",
"Y_rep[103,21]",
"Y_rep[103,22]",
"Y_rep[103,23]",
"Y_rep[103,24]",
"Y_rep[103,25]",
"Y_rep[103,26]",
"Y_rep[103,27]",
"Y_rep[103,28]",
"Y_rep[104,1]",
"Y_rep[104,2]",
"Y_rep[104,3]",
"Y_rep[104,4]",
"Y_rep[104,5]",
"Y_rep[104,6]",
"Y_rep[104,7]",
"Y_rep[104,8]",
"Y_rep[104,9]",
"Y_rep[104,10]",
"Y_rep[104,11]",
"Y_rep[104,12]",
"Y_rep[104,13]",
"Y_rep[104,14]",
"Y_rep[104,15]",
"Y_rep[104,16]",
"Y_rep[104,17]",
"Y_rep[104,18]",
"Y_rep[104,19]",
"Y_rep[104,20]",
"Y_rep[104,21]",
"Y_rep[104,22]",
"Y_rep[104,23]",
"Y_rep[104,24]",
"Y_rep[104,25]",
"Y_rep[104,26]",
"Y_rep[104,27]",
"Y_rep[104,28]",
"Y_rep[105,1]",
"Y_rep[105,2]",
"Y_rep[105,3]",
"Y_rep[105,4]",
"Y_rep[105,5]",
"Y_rep[105,6]",
"Y_rep[105,7]",
"Y_rep[105,8]",
"Y_rep[105,9]",
"Y_rep[105,10]",
"Y_rep[105,11]",
"Y_rep[105,12]",
"Y_rep[105,13]",
"Y_rep[105,14]",
"Y_rep[105,15]",
"Y_rep[105,16]",
"Y_rep[105,17]",
"Y_rep[105,18]",
"Y_rep[105,19]",
"Y_rep[105,20]",
"Y_rep[105,21]",
"Y_rep[105,22]",
"Y_rep[105,23]",
"Y_rep[105,24]",
"Y_rep[105,25]",
"Y_rep[105,26]",
"Y_rep[105,27]",
"Y_rep[105,28]",
"Y_rep[106,1]",
"Y_rep[106,2]",
"Y_rep[106,3]",
"Y_rep[106,4]",
"Y_rep[106,5]",
"Y_rep[106,6]",
"Y_rep[106,7]",
"Y_rep[106,8]",
"Y_rep[106,9]",
"Y_rep[106,10]",
"Y_rep[106,11]",
"Y_rep[106,12]",
"Y_rep[106,13]",
"Y_rep[106,14]",
"Y_rep[106,15]",
"Y_rep[106,16]",
"Y_rep[106,17]",
"Y_rep[106,18]",
"Y_rep[106,19]",
"Y_rep[106,20]",
"Y_rep[106,21]",
"Y_rep[106,22]",
"Y_rep[106,23]",
"Y_rep[106,24]",
"Y_rep[106,25]",
"Y_rep[106,26]",
"Y_rep[106,27]",
"Y_rep[106,28]",
"Y_rep[107,1]",
"Y_rep[107,2]",
"Y_rep[107,3]",
"Y_rep[107,4]",
"Y_rep[107,5]",
"Y_rep[107,6]",
"Y_rep[107,7]",
"Y_rep[107,8]",
"Y_rep[107,9]",
"Y_rep[107,10]",
"Y_rep[107,11]",
"Y_rep[107,12]",
"Y_rep[107,13]",
"Y_rep[107,14]",
"Y_rep[107,15]",
"Y_rep[107,16]",
"Y_rep[107,17]",
"Y_rep[107,18]",
"Y_rep[107,19]",
"Y_rep[107,20]",
"Y_rep[107,21]",
"Y_rep[107,22]",
"Y_rep[107,23]",
"Y_rep[107,24]",
"Y_rep[107,25]",
"Y_rep[107,26]",
"Y_rep[107,27]",
"Y_rep[107,28]",
"Y_rep[108,1]",
"Y_rep[108,2]",
"Y_rep[108,3]",
"Y_rep[108,4]",
"Y_rep[108,5]",
"Y_rep[108,6]",
"Y_rep[108,7]",
"Y_rep[108,8]",
"Y_rep[108,9]",
"Y_rep[108,10]",
"Y_rep[108,11]",
"Y_rep[108,12]",
"Y_rep[108,13]",
"Y_rep[108,14]",
"Y_rep[108,15]",
"Y_rep[108,16]",
"Y_rep[108,17]",
"Y_rep[108,18]",
"Y_rep[108,19]",
"Y_rep[108,20]",
"Y_rep[108,21]",
"Y_rep[108,22]",
"Y_rep[108,23]",
"Y_rep[108,24]",
"Y_rep[108,25]",
"Y_rep[108,26]",
"Y_rep[108,27]",
"Y_rep[108,28]",
"Y_rep[109,1]",
"Y_rep[109,2]",
"Y_rep[109,3]",
"Y_rep[109,4]",
"Y_rep[109,5]",
"Y_rep[109,6]",
"Y_rep[109,7]",
"Y_rep[109,8]",
"Y_rep[109,9]",
"Y_rep[109,10]",
"Y_rep[109,11]",
"Y_rep[109,12]",
"Y_rep[109,13]",
"Y_rep[109,14]",
"Y_rep[109,15]",
"Y_rep[109,16]",
"Y_rep[109,17]",
"Y_rep[109,18]",
"Y_rep[109,19]",
"Y_rep[109,20]",
"Y_rep[109,21]",
"Y_rep[109,22]",
"Y_rep[109,23]",
"Y_rep[109,24]",
"Y_rep[109,25]",
"Y_rep[109,26]",
"Y_rep[109,27]",
"Y_rep[109,28]",
"Y_rep[110,1]",
"Y_rep[110,2]",
"Y_rep[110,3]",
"Y_rep[110,4]",
"Y_rep[110,5]",
"Y_rep[110,6]",
"Y_rep[110,7]",
"Y_rep[110,8]",
"Y_rep[110,9]",
"Y_rep[110,10]",
"Y_rep[110,11]",
"Y_rep[110,12]",
"Y_rep[110,13]",
"Y_rep[110,14]",
"Y_rep[110,15]",
"Y_rep[110,16]",
"Y_rep[110,17]",
"Y_rep[110,18]",
"Y_rep[110,19]",
"Y_rep[110,20]",
"Y_rep[110,21]",
"Y_rep[110,22]",
"Y_rep[110,23]",
"Y_rep[110,24]",
"Y_rep[110,25]",
"Y_rep[110,26]",
"Y_rep[110,27]",
"Y_rep[110,28]",
"Y_rep[111,1]",
"Y_rep[111,2]",
"Y_rep[111,3]",
"Y_rep[111,4]",
"Y_rep[111,5]",
"Y_rep[111,6]",
"Y_rep[111,7]",
"Y_rep[111,8]",
"Y_rep[111,9]",
"Y_rep[111,10]",
"Y_rep[111,11]",
"Y_rep[111,12]",
"Y_rep[111,13]",
"Y_rep[111,14]",
"Y_rep[111,15]",
"Y_rep[111,16]",
"Y_rep[111,17]",
"Y_rep[111,18]",
"Y_rep[111,19]",
"Y_rep[111,20]",
"Y_rep[111,21]",
"Y_rep[111,22]",
"Y_rep[111,23]",
"Y_rep[111,24]",
"Y_rep[111,25]",
"Y_rep[111,26]",
"Y_rep[111,27]",
"Y_rep[111,28]",
"Y_rep[112,1]",
"Y_rep[112,2]",
"Y_rep[112,3]",
"Y_rep[112,4]",
"Y_rep[112,5]",
"Y_rep[112,6]",
"Y_rep[112,7]",
"Y_rep[112,8]",
"Y_rep[112,9]",
"Y_rep[112,10]",
"Y_rep[112,11]",
"Y_rep[112,12]",
"Y_rep[112,13]",
"Y_rep[112,14]",
"Y_rep[112,15]",
"Y_rep[112,16]",
"Y_rep[112,17]",
"Y_rep[112,18]",
"Y_rep[112,19]",
"Y_rep[112,20]",
"Y_rep[112,21]",
"Y_rep[112,22]",
"Y_rep[112,23]",
"Y_rep[112,24]",
"Y_rep[112,25]",
"Y_rep[112,26]",
"Y_rep[112,27]",
"Y_rep[112,28]",
"Y_rep[113,1]",
"Y_rep[113,2]",
"Y_rep[113,3]",
"Y_rep[113,4]",
"Y_rep[113,5]",
"Y_rep[113,6]",
