,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"y_rep[10,6]",0.5005,0.00552144,0.500031,0.0,0.0,1.0,1.0,8229.09,8229.09,1156.58,1.00034
"y_rep[10,7]",0.502625,0.00561572,0.500024,0.0,0.0,1.0,1.0,7910.38,7910.38,1111.79,1.0004
"y_rep[11,1]",0.500375,,0.500031,0.0,0.0,1.0,1.0,7915.1,7915.1,1112.45,1.00075
"y_rep[11,2]",0.501875,0.00550911,0.500028,0.0,0.0,1.0,1.0,8249.82,8249.82,1159.5,1.00011
"y_rep[11,3]",0.504,0.00550977,0.500015,0.0,0.0,1.0,1.0,8245.66,8245.66,1158.91,1.00011
"y_rep[11,4]",0.648875,0.00544044,0.477352,0.0,0.0,1.0,1.0,7748.03,7748.03,1088.97,0.999792
"y_rep[11,5]",0.19825,,0.398706,0.0,0.0,0.0,1.0,8031.59,8031.59,1128.83,0.999874
"y_rep[11,6]",0.5045,,0.500011,0.0,0.0,1.0,1.0,8167.4,8167.4,1147.91,1.00014
"y_rep[11,7]",0.498625,0.00548202,0.500029,0.0,0.0,0.0,1.0,8323.13,8323.13,1169.8,0.999846
"y_rep[12,1]",0.4985,0.00561304,0.500029,0.0,0.0,0.0,1.0,7962.85,7962.85,1119.16,1.0006
"y_rep[12,2]",0.49925,0.00580202,0.500031,0.0,0.0,0.0,1.0,7458.7,7458.7,1048.31,0.999855
"y_rep[12,3]",0.4935,0.00554153,0.499989,0.0,0.0,0.0,1.0,8148.3,8148.3,1145.23,0.999814
"y_rep[12,4]",0.655125,0.00529343,0.475357,0.0,0.0,1.0,1.0,8078.27,8078.27,1135.39,0.999736
"y_rep[12,5]",0.19875,0.00441861,0.399084,0.0,0.0,0.0,1.0,8167.88,8167.88,1147.98,0.999832
"y_rep[12,6]",0.506875,0.00562986,0.499984,0.0,0.0,1.0,1.0,7932.19,7932.19,1114.85,0.999783
"y_rep[12,7]",0.4965,0.00574838,0.500019,0.0,0.0,0.0,1.0,7614.11,7614.11,1070.15,1.00022
"y_rep[13,1]",0.504875,0.00554824,0.500007,0.0,0.0,1.0,1.0,8125.82,8125.82,1142.07,0.999837
"y_rep[13,2]",0.497375,0.0055246,0.500024,0.0,0.0,0.0,1.0,8202.76,8202.76,1152.88,1.00016
"y_rep[13,3]",0.49525,0.00560594,0.500009,0.0,0.0,0.0,1.0,7962.93,7962.93,1119.18,1.00018
"y_rep[13,4]",0.646875,0.00526915,0.477971,0.0,0.0,1.0,1.0,8261.35,8261.35,1161.12,0.999929
"y_rep[13,5]",0.202,0.00453148,0.401517,0.0,0.0,0.0,1.0,7853.16,7853.16,1103.75,0.999772
"y_rep[13,6]",0.498625,0.00544078,0.500029,0.0,0.0,0.0,1.0,8456.06,8456.06,1188.48,0.99974
"y_rep[13,7]",0.496625,,0.50002,0.0,0.0,0.0,1.0,7874.84,7874.84,1106.79,0.999959
"y_rep[14,1]",0.494875,0.00556103,0.500005,0.0,0.0,0.0,1.0,8123.05,8123.05,1141.68,1.00001
"y_rep[14,2]",0.5035,0.00554419,0.500019,0.0,0.0,1.0,1.0,8142.22,8142.22,1144.37,0.999755
"y_rep[14,3]",0.5005,0.00552835,0.500031,0.0,0.0,1.0,1.0,8189.78,8189.78,1151.06,1.00015
"y_rep[14,4]",0.6505,,0.476842,0.0,0.0,1.0,1.0,8135.79,8135.79,1143.47,1.00042
